workload,metric,min,median,max,classification
DAST_PROFILE_A,runtime_seconds,166.2,200.552,213.522,LOCAL_EMPIRICAL
DAST_PROFILE_A,cpu_usage_seconds,71.912,75.628,84.73,LOCAL_EMPIRICAL
DAST_PROFILE_A,peak_memory_mb,1157.46,1190.07,1205.16,LOCAL_EMPIRICAL
DAST_PROFILE_A,network_tx_bytes,13799009.0,13800000.0,13900000.0,LOCAL_EMPIRICAL
DAST_PROFILE_A,network_rx_bytes,42299315.0,42300000.0,42400000.0,LOCAL_EMPIRICAL
DAST_PROFILE_A,artifact_bytes,1728341.0,1728341.0,1728341.0,LOCAL_EMPIRICAL
L7_STRESS_PRO,runtime_seconds,30.64,30.654,30.681,LOCAL_EMPIRICAL
L7_STRESS_PRO,cpu_usage_seconds,2.983,3.048,3.15,LOCAL_EMPIRICAL
L7_STRESS_PRO,peak_memory_mb,1080.39,1080.39,1080.39,LOCAL_EMPIRICAL
L7_STRESS_PRO,network_tx_bytes,1440000.0,1449017.0,1450000.0,LOCAL_EMPIRICAL
L7_STRESS_PRO,network_rx_bytes,4099442.0,4100000.0,4100001.0,LOCAL_EMPIRICAL
L7_STRESS_PRO_MAX,runtime_seconds,60.799,60.886,60.926,LOCAL_EMPIRICAL
L7_STRESS_PRO_MAX,cpu_usage_seconds,6.748,7.471,7.812,LOCAL_EMPIRICAL
L7_STRESS_PRO_MAX,peak_memory_mb,1080.39,1080.39,1080.39,LOCAL_EMPIRICAL
L7_STRESS_PRO_MAX,network_tx_bytes,3588940.0,3590000.0,3620000.0,LOCAL_EMPIRICAL
L7_STRESS_PRO_MAX,network_rx_bytes,10199315.0,10200000.0,10200000.0,LOCAL_EMPIRICAL
