workload,metric,min,median,max,classification
DAST_PROFILE_A,runtime_seconds,177.787,180.925,200.696,LOCAL_EMPIRICAL
DAST_PROFILE_A,cpu_usage_seconds,71.228,71.883,72.24,LOCAL_EMPIRICAL
DAST_PROFILE_A,peak_memory_mb,1183.61,1190.0,1216.16,LOCAL_EMPIRICAL
DAST_PROFILE_A,artifact_bytes,1726495.0,1728313.0,1728660.0,LOCAL_EMPIRICAL
L7_STRESS_PRO,runtime_seconds,30.657,30.731,30.77,LOCAL_EMPIRICAL
L7_STRESS_PRO,cpu_usage_seconds,2.567,2.583,2.63,LOCAL_EMPIRICAL
L7_STRESS_PRO,peak_memory_mb,99.41,99.43,99.46,LOCAL_EMPIRICAL
L7_STRESS_PRO_MAX,runtime_seconds,60.85,60.885,60.914,LOCAL_EMPIRICAL
L7_STRESS_PRO_MAX,cpu_usage_seconds,5.151,5.433,5.515,LOCAL_EMPIRICAL
L7_STRESS_PRO_MAX,peak_memory_mb,99.75,99.77,99.84,LOCAL_EMPIRICAL
