workload,metric,min,median,max,classification
DAST_PROFILE_A,runtime_seconds,208.888,264.34,349.839,VPS_EMPIRICAL
DAST_PROFILE_A,cpu_usage_seconds,35.884,39.249,49.894,VPS_EMPIRICAL
DAST_PROFILE_A,peak_memory_mb,747.87,754.21,794.49,VPS_EMPIRICAL
DAST_PROFILE_A,network_tx_bytes,0.0,0.0,0.0,VPS_EMPIRICAL
DAST_PROFILE_A,network_rx_bytes,0.0,0.0,0.0,VPS_EMPIRICAL
DAST_PROFILE_A,artifact_bytes,10547.0,20843.0,22378.0,VPS_EMPIRICAL
L7_STRESS_PRO,runtime_seconds,31.268,31.318,31.686,VPS_EMPIRICAL
L7_STRESS_PRO,cpu_usage_seconds,4.118,4.201,4.321,VPS_EMPIRICAL
L7_STRESS_PRO,peak_memory_mb,95.65,95.7,95.7,VPS_EMPIRICAL
L7_STRESS_PRO,network_tx_bytes,1449059.0,1449125.0,1449125.0,VPS_EMPIRICAL
L7_STRESS_PRO,network_rx_bytes,4099484.0,4099484.0,4099484.0,VPS_EMPIRICAL
L7_STRESS_PRO_MAX,runtime_seconds,61.463,61.494,61.494,VPS_EMPIRICAL
L7_STRESS_PRO_MAX,cpu_usage_seconds,8.524,8.78,8.791,VPS_EMPIRICAL
L7_STRESS_PRO_MAX,peak_memory_mb,95.95,95.99,96.01,VPS_EMPIRICAL
L7_STRESS_PRO_MAX,network_tx_bytes,3589059.0,3589083.0,3589125.0,VPS_EMPIRICAL
L7_STRESS_PRO_MAX,network_rx_bytes,10199443.0,10199485.0,10199485.0,VPS_EMPIRICAL
