metric,value,unit,classification,source,measured_at,usable_in_competition_report
free_lifetime_dast_limit,2,scans,SOURCE_CONFIG,backend/routers/scan_router.py,2026-09-10,YES
pro_monthly_dast_limit,UNBOUNDED_BY_PRODUCT_QUOTA,scans,SOURCE_CONFIG,backend/routers/scan_router.py,2026-09-10,YES
pro_max_monthly_dast_limit,UNBOUNDED_BY_PRODUCT_QUOTA,scans,SOURCE_CONFIG,backend/routers/scan_router.py,2026-09-10,YES
pro_daily_stress_quota,1,tests/day,SOURCE_CONFIG,backend/routers/stress_router.py,2026-09-10,YES
pro_max_daily_stress_quota,10,tests/day,SOURCE_CONFIG,backend/routers/stress_router.py,2026-09-10,YES
pro_stress_max_requests,2000,requests,SOURCE_CONFIG,backend/services/stress_service.py,2026-09-10,YES
pro_stress_max_duration,30,seconds,SOURCE_CONFIG,backend/services/stress_service.py,2026-09-10,YES
pro_stress_max_rps,100,rps,SOURCE_CONFIG,backend/services/stress_service.py,2026-09-10,YES
pro_max_stress_max_requests,5000,requests,SOURCE_CONFIG,backend/services/stress_service.py,2026-09-10,YES
pro_max_stress_max_duration,60,seconds,SOURCE_CONFIG,backend/services/stress_service.py,2026-09-10,YES
pro_max_stress_max_rps,250,rps,SOURCE_CONFIG,backend/services/stress_service.py,2026-09-10,YES
copilot_free_access,0,boolean_flag,SOURCE_CONFIG,backend/routers/copilot_router.py,2026-09-10,YES
copilot_pro_access,0,boolean_flag,SOURCE_CONFIG,backend/routers/copilot_router.py,2026-09-10,YES
copilot_pro_max_access,1,boolean_flag,SOURCE_CONFIG,backend/routers/copilot_router.py,2026-09-10,YES
copilot_pro_max_daily_quota,UNBOUNDED_BY_PRODUCT_QUOTA,requests/day,SOURCE_CONFIG,backend/routers/copilot_router.py,2026-09-10,YES
pro_listed_price,199000,VND/month,SOURCE_CONFIG,frontend/src/components/auth/plans-modal.tsx,2026-09-10,YES
pro_max_listed_price,499000,VND/month,SOURCE_CONFIG,frontend/src/components/auth/plans-modal.tsx,2026-09-10,YES
observed_paying_customers,null,users,USER_SUPPLIED_INPUT,unmeasured,null,NO
observed_arpu_vnd,null,VND,USER_SUPPLIED_INPUT,unmeasured,null,NO
vps_monthly_cost_vnd,null,VND/month,USER_SUPPLIED_INPUT,unmeasured_invoice,null,NO
postgres_monthly_cost_vnd,null,VND/month,USER_SUPPLIED_INPUT,unmeasured_invoice,null,NO
redis_monthly_cost_vnd,null,VND/month,USER_SUPPLIED_INPUT,unmeasured_invoice,null,NO
egress_cost_per_gb_vnd,null,VND/GB,USER_SUPPLIED_INPUT,unmeasured_invoice,null,NO
ai_input_cost_per_million_tokens_vnd,null,VND/M_tokens,USER_SUPPLIED_INPUT,unmeasured_invoice,null,NO
ai_output_cost_per_million_tokens_vnd,null,VND/M_tokens,USER_SUPPLIED_INPUT,unmeasured_invoice,null,NO
dast_finding_ai_prompt_tokens_estimate,2500,tokens,ASSUMPTION,engineering_heuristic,null,NO
dast_finding_ai_output_tokens_estimate,450,tokens,ASSUMPTION,engineering_heuristic,null,NO
copilot_chat_prompt_tokens_estimate,3200,tokens,ASSUMPTION,engineering_heuristic,null,NO
copilot_chat_output_tokens_estimate,600,tokens,ASSUMPTION,engineering_heuristic,null,NO
patch_generation_prompt_tokens_estimate,4000,tokens,ASSUMPTION,engineering_heuristic,null,NO
patch_generation_output_tokens_estimate,1200,tokens,ASSUMPTION,engineering_heuristic,null,NO
dast_unit_cost_vnd,null,VND/scan,DERIVED_FROM_ASSUMPTION,unit_economics_formulas.py,null,NO
stress_unit_cost_vnd,null,VND/test,DERIVED_FROM_ASSUMPTION,unit_economics_formulas.py,null,NO
gross_margin_pro,null,percent,DERIVED_FROM_ASSUMPTION,unit_economics_formulas.py,null,NO
gross_margin_pro_max,null,percent,DERIVED_FROM_ASSUMPTION,unit_economics_formulas.py,null,NO
break_even_subscribers,null,subscribers,DERIVED_FROM_ASSUMPTION,unit_economics_formulas.py,null,NO

