sample_id,start_timestamp,end_timestamp,interval_seconds,container_name,cpu_seconds_t0,cpu_seconds_t1,cpu_delta_seconds,metric_type
idle_interval_01,2026-09-11T09:46:57.951157+00:00,2026-09-11T09:47:07.981738+00:00,10,adq_api,24.330000000000002,24.34,0.01,IDLE_CPU_DELTA
idle_interval_01,2026-09-11T09:46:57.951157+00:00,2026-09-11T09:47:07.981738+00:00,10,adq-worker-light-1,2.11,2.11,0.0,IDLE_CPU_DELTA
idle_interval_01,2026-09-11T09:46:57.951157+00:00,2026-09-11T09:47:07.981738+00:00,10,adq-worker-elite-1,2.02,2.02,0.0,IDLE_CPU_DELTA
idle_interval_01,2026-09-11T09:46:57.951157+00:00,2026-09-11T09:47:07.981738+00:00,10,adq_worker_stress,2.07,2.07,0.0,IDLE_CPU_DELTA
idle_interval_01,2026-09-11T09:46:57.951157+00:00,2026-09-11T09:47:07.981738+00:00,10,adq_redis,20.84,20.89,0.05,IDLE_CPU_DELTA
idle_interval_01,2026-09-11T09:46:57.951157+00:00,2026-09-11T09:47:07.981738+00:00,10,adq_postgres,0.09000000000000001,0.09000000000000001,0.0,IDLE_CPU_DELTA
idle_interval_02,2026-09-11T09:47:08.006592+00:00,2026-09-11T09:47:18.030330+00:00,10,adq_api,24.34,24.35,0.01,IDLE_CPU_DELTA
idle_interval_02,2026-09-11T09:47:08.006592+00:00,2026-09-11T09:47:18.030330+00:00,10,adq-worker-light-1,2.11,2.11,0.0,IDLE_CPU_DELTA
idle_interval_02,2026-09-11T09:47:08.006592+00:00,2026-09-11T09:47:18.030330+00:00,10,adq-worker-elite-1,2.02,2.02,0.0,IDLE_CPU_DELTA
idle_interval_02,2026-09-11T09:47:08.006592+00:00,2026-09-11T09:47:18.030330+00:00,10,adq_worker_stress,2.07,2.07,0.0,IDLE_CPU_DELTA
idle_interval_02,2026-09-11T09:47:08.006592+00:00,2026-09-11T09:47:18.030330+00:00,10,adq_redis,20.89,20.93,0.04,IDLE_CPU_DELTA
idle_interval_02,2026-09-11T09:47:08.006592+00:00,2026-09-11T09:47:18.030330+00:00,10,adq_postgres,0.09000000000000001,0.09000000000000001,0.0,IDLE_CPU_DELTA
idle_interval_03,2026-09-11T09:47:18.060575+00:00,2026-09-11T09:47:28.088363+00:00,10,adq_api,24.35,24.37,0.02,IDLE_CPU_DELTA
idle_interval_03,2026-09-11T09:47:18.060575+00:00,2026-09-11T09:47:28.088363+00:00,10,adq-worker-light-1,2.11,2.12,0.01,IDLE_CPU_DELTA
idle_interval_03,2026-09-11T09:47:18.060575+00:00,2026-09-11T09:47:28.088363+00:00,10,adq-worker-elite-1,2.02,2.03,0.01,IDLE_CPU_DELTA
idle_interval_03,2026-09-11T09:47:18.060575+00:00,2026-09-11T09:47:28.088363+00:00,10,adq_worker_stress,2.07,2.08,0.01,IDLE_CPU_DELTA
idle_interval_03,2026-09-11T09:47:18.060575+00:00,2026-09-11T09:47:28.088363+00:00,10,adq_redis,20.93,20.979999999999997,0.05,IDLE_CPU_DELTA
idle_interval_03,2026-09-11T09:47:18.060575+00:00,2026-09-11T09:47:28.088363+00:00,10,adq_postgres,0.09000000000000001,0.09000000000000001,0.0,IDLE_CPU_DELTA
