sample_id,start_timestamp,end_timestamp,interval_seconds,container_name,net_rx_before,net_rx_after,net_rx_delta_bytes,net_tx_before,net_tx_after,net_tx_delta_bytes,metric_type
idle_interval_01,2026-09-11T09:46:57.951157+00:00,2026-09-11T09:47:07.981738+00:00,10,adq_api,12431528,12431594,66,4680189,4680255,66,IDLE_NETWORK_DELTA
idle_interval_01,2026-09-11T09:46:57.951157+00:00,2026-09-11T09:47:07.981738+00:00,10,adq-worker-light-1,736497,737989,1492,1191792,1194204,2412,IDLE_NETWORK_DELTA
idle_interval_01,2026-09-11T09:46:57.951157+00:00,2026-09-11T09:47:07.981738+00:00,10,adq-worker-elite-1,736261,737753,1492,1189153,1191562,2409,IDLE_NETWORK_DELTA
idle_interval_01,2026-09-11T09:46:57.951157+00:00,2026-09-11T09:47:07.981738+00:00,10,adq_worker_stress,735995,737487,1492,1176994,1179386,2392,IDLE_NETWORK_DELTA
idle_interval_01,2026-09-11T09:46:57.951157+00:00,2026-09-11T09:47:07.981738+00:00,10,adq_redis,6111608,6124057,12449,3129918,3136315,6397,IDLE_NETWORK_DELTA
idle_interval_01,2026-09-11T09:46:57.951157+00:00,2026-09-11T09:47:07.981738+00:00,10,adq_postgres,2528,2528,0,126,126,0,IDLE_NETWORK_DELTA
idle_interval_02,2026-09-11T09:47:08.006592+00:00,2026-09-11T09:47:18.030330+00:00,10,adq_api,12431594,12431594,0,4680255,4680255,0,IDLE_NETWORK_DELTA
idle_interval_02,2026-09-11T09:47:08.006592+00:00,2026-09-11T09:47:18.030330+00:00,10,adq-worker-light-1,737989,739481,1492,1194204,1196630,2426,IDLE_NETWORK_DELTA
idle_interval_02,2026-09-11T09:47:08.006592+00:00,2026-09-11T09:47:18.030330+00:00,10,adq-worker-elite-1,737753,739245,1492,1191562,1193983,2421,IDLE_NETWORK_DELTA
idle_interval_02,2026-09-11T09:47:08.006592+00:00,2026-09-11T09:47:18.030330+00:00,10,adq_worker_stress,737487,738979,1492,1179386,1181776,2390,IDLE_NETWORK_DELTA
idle_interval_02,2026-09-11T09:47:08.006592+00:00,2026-09-11T09:47:18.030330+00:00,10,adq_redis,6124057,6136464,12407,3136315,3142646,6331,IDLE_NETWORK_DELTA
idle_interval_02,2026-09-11T09:47:08.006592+00:00,2026-09-11T09:47:18.030330+00:00,10,adq_postgres,2528,2528,0,126,126,0,IDLE_NETWORK_DELTA
idle_interval_03,2026-09-11T09:47:18.060575+00:00,2026-09-11T09:47:28.088363+00:00,10,adq_api,12431594,12431594,0,4680255,4680255,0,IDLE_NETWORK_DELTA
idle_interval_03,2026-09-11T09:47:18.060575+00:00,2026-09-11T09:47:28.088363+00:00,10,adq-worker-light-1,739481,740838,1357,1196630,1198880,2250,IDLE_NETWORK_DELTA
idle_interval_03,2026-09-11T09:47:18.060575+00:00,2026-09-11T09:47:28.088363+00:00,10,adq-worker-elite-1,739245,740737,1492,1193983,1196402,2419,IDLE_NETWORK_DELTA
idle_interval_03,2026-09-11T09:47:18.060575+00:00,2026-09-11T09:47:28.088363+00:00,10,adq_worker_stress,738979,740471,1492,1181776,1184168,2392,IDLE_NETWORK_DELTA
idle_interval_03,2026-09-11T09:47:18.060575+00:00,2026-09-11T09:47:28.088363+00:00,10,adq_redis,6136464,6148681,12217,3142646,3148907,6261,IDLE_NETWORK_DELTA
idle_interval_03,2026-09-11T09:47:18.060575+00:00,2026-09-11T09:47:28.088363+00:00,10,adq_postgres,2528,2528,0,126,126,0,IDLE_NETWORK_DELTA
