sample_id,timestamp,container_name,memory_rss_bytes,memory_rss_mb,metric_type
c2b_idle_interval_01,2026-09-11T11:32:29.684787+00:00,adq_api,5726208,5.46,IDLE_MEMORY_SNAPSHOT
c2b_idle_interval_01,2026-09-11T11:32:29.684787+00:00,adq-worker-light-1,7655424,7.3,IDLE_MEMORY_SNAPSHOT
c2b_idle_interval_01,2026-09-11T11:32:29.684787+00:00,adq-worker-elite-1,13791232,13.15,IDLE_MEMORY_SNAPSHOT
c2b_idle_interval_01,2026-09-11T11:32:29.684787+00:00,adq_worker_stress,6877184,6.56,IDLE_MEMORY_SNAPSHOT
c2b_idle_interval_01,2026-09-11T11:32:29.684787+00:00,adq_redis,1998848,1.91,IDLE_MEMORY_SNAPSHOT
c2b_idle_interval_01,2026-09-11T11:32:29.684787+00:00,adq_postgres,14135296,13.48,IDLE_MEMORY_SNAPSHOT
c2b_idle_interval_02,2026-09-11T11:32:39.738000+00:00,adq_api,5726208,5.46,IDLE_MEMORY_SNAPSHOT
c2b_idle_interval_02,2026-09-11T11:32:39.738000+00:00,adq-worker-light-1,7655424,7.3,IDLE_MEMORY_SNAPSHOT
c2b_idle_interval_02,2026-09-11T11:32:39.738000+00:00,adq-worker-elite-1,13791232,13.15,IDLE_MEMORY_SNAPSHOT
c2b_idle_interval_02,2026-09-11T11:32:39.738000+00:00,adq_worker_stress,6877184,6.56,IDLE_MEMORY_SNAPSHOT
c2b_idle_interval_02,2026-09-11T11:32:39.738000+00:00,adq_redis,1998848,1.91,IDLE_MEMORY_SNAPSHOT
c2b_idle_interval_02,2026-09-11T11:32:39.738000+00:00,adq_postgres,14135296,13.48,IDLE_MEMORY_SNAPSHOT
c2b_idle_interval_03,2026-09-11T11:32:49.789067+00:00,adq_api,5726208,5.46,IDLE_MEMORY_SNAPSHOT
c2b_idle_interval_03,2026-09-11T11:32:49.789067+00:00,adq-worker-light-1,7655424,7.3,IDLE_MEMORY_SNAPSHOT
c2b_idle_interval_03,2026-09-11T11:32:49.789067+00:00,adq-worker-elite-1,13791232,13.15,IDLE_MEMORY_SNAPSHOT
c2b_idle_interval_03,2026-09-11T11:32:49.789067+00:00,adq_worker_stress,6881280,6.56,IDLE_MEMORY_SNAPSHOT
c2b_idle_interval_03,2026-09-11T11:32:49.789067+00:00,adq_redis,1998848,1.91,IDLE_MEMORY_SNAPSHOT
c2b_idle_interval_03,2026-09-11T11:32:49.789067+00:00,adq_postgres,14135296,13.48,IDLE_MEMORY_SNAPSHOT
