sample_id,start_timestamp,end_timestamp,interval_seconds,container_name,net_rx_before,net_rx_after,net_rx_delta_bytes,net_tx_before,net_tx_after,net_tx_delta_bytes,metric_type
c2b_idle_interval_01,2026-09-11T11:32:29.684787+00:00,2026-09-11T11:32:39.711642+00:00,10,adq_api,6023,6089,66,35085,35151,66,IDLE_NETWORK_DELTA
c2b_idle_interval_01,2026-09-11T11:32:29.684787+00:00,2026-09-11T11:32:39.711642+00:00,10,adq-worker-light-1,252871,254363,1492,403058,405471,2413,IDLE_NETWORK_DELTA
c2b_idle_interval_01,2026-09-11T11:32:29.684787+00:00,2026-09-11T11:32:39.711642+00:00,10,adq-worker-elite-1,253090,254582,1492,402344,404763,2419,IDLE_NETWORK_DELTA
c2b_idle_interval_01,2026-09-11T11:32:29.684787+00:00,2026-09-11T11:32:39.711642+00:00,10,adq_worker_stress,252745,254237,1492,398071,400462,2391,IDLE_NETWORK_DELTA
c2b_idle_interval_01,2026-09-11T11:32:29.684787+00:00,2026-09-11T11:32:39.711642+00:00,10,adq_redis,1369819,1378048,8229,816098,821045,4947,IDLE_NETWORK_DELTA
c2b_idle_interval_01,2026-09-11T11:32:29.684787+00:00,2026-09-11T11:32:39.711642+00:00,10,adq_postgres,5818,5818,0,126,126,0,IDLE_NETWORK_DELTA
c2b_idle_interval_02,2026-09-11T11:32:39.738000+00:00,2026-09-11T11:32:49.762704+00:00,10,adq_api,6089,6089,0,35151,35151,0,IDLE_NETWORK_DELTA
c2b_idle_interval_02,2026-09-11T11:32:39.738000+00:00,2026-09-11T11:32:49.762704+00:00,10,adq-worker-light-1,254363,255855,1492,405471,407897,2426,IDLE_NETWORK_DELTA
c2b_idle_interval_02,2026-09-11T11:32:39.738000+00:00,2026-09-11T11:32:49.762704+00:00,10,adq-worker-elite-1,254582,256074,1492,404763,407183,2420,IDLE_NETWORK_DELTA
c2b_idle_interval_02,2026-09-11T11:32:39.738000+00:00,2026-09-11T11:32:49.762704+00:00,10,adq_worker_stress,254237,255729,1492,400462,402854,2392,IDLE_NETWORK_DELTA
c2b_idle_interval_02,2026-09-11T11:32:39.738000+00:00,2026-09-11T11:32:49.762704+00:00,10,adq_redis,1378048,1386226,8178,821045,825926,4881,IDLE_NETWORK_DELTA
c2b_idle_interval_02,2026-09-11T11:32:39.738000+00:00,2026-09-11T11:32:49.762704+00:00,10,adq_postgres,5818,5818,0,126,126,0,IDLE_NETWORK_DELTA
c2b_idle_interval_03,2026-09-11T11:32:49.789067+00:00,2026-09-11T11:32:59.813698+00:00,10,adq_api,6089,6089,0,35151,35151,0,IDLE_NETWORK_DELTA
c2b_idle_interval_03,2026-09-11T11:32:49.789067+00:00,2026-09-11T11:32:59.813698+00:00,10,adq-worker-light-1,255855,257347,1492,407897,410322,2425,IDLE_NETWORK_DELTA
c2b_idle_interval_03,2026-09-11T11:32:49.789067+00:00,2026-09-11T11:32:59.813698+00:00,10,adq-worker-elite-1,256074,257431,1357,407183,409427,2244,IDLE_NETWORK_DELTA
c2b_idle_interval_03,2026-09-11T11:32:49.789067+00:00,2026-09-11T11:32:59.813698+00:00,10,adq_worker_stress,255729,257221,1492,402854,405246,2392,IDLE_NETWORK_DELTA
c2b_idle_interval_03,2026-09-11T11:32:49.789067+00:00,2026-09-11T11:32:59.813698+00:00,10,adq_redis,1386226,1394391,8165,825926,830807,4881,IDLE_NETWORK_DELTA
c2b_idle_interval_03,2026-09-11T11:32:49.789067+00:00,2026-09-11T11:32:59.813698+00:00,10,adq_postgres,5818,5818,0,126,126,0,IDLE_NETWORK_DELTA
